Address,Decimals,Holders,Name,Symbol,Transfers,Type
0x020fdd3a8f6ec7085e7f5e028cfc5283d4cd1a5d0c7ab2515f2ce9e9d588778d,,2500,Stark Reavers,REAVER,3048,erc721
0x07e4c871a02ea387cc52f70aa4542902192429520c20448d69e6fccac47a1370,,2420,Stark SupDucks,SSD,2891,erc721
0x0687fbfe46424b8da8939d8c527ef16fe966af72be3409c47510657af46b013c,,2306,Pyramid Weekend Takeover,PYRMD,2306,erc721
0x0158160018d590d93528995b340260e65aedd76d28a686e9daa5c4e8fad0c5dd,,2306,Beasts,BEASTS,2601,erc721
0x0456aa4516825be3fa6d8bf51d5c4c3767254adf2830bed821c84ceea186baa5,,2300,StarkNet Football,BALL,3193,erc721
0x057908be1e2fb1bf2f6b82ac4a1a56cfbfe59cad0117a85b5447f9ee76e734aa,,2242,Stark Ladys,SL,2267,erc721
0x0209cd95de885ed51ed547cd7913c5d7064edc0f37a6df7c09fefea3a6477e59,,2222,Community Is King,CIK,2254,erc721
0x059858535ac7540862ff5cb8b5aa25a8d6695c864c9f6a46e34b0cc182b8eeb0,,2222,Bored Ape Stars,BAS,3695,erc721
0x0221e55b3bacfc7d3edc69219d13222980bbf7d561718081fc860eacf2850b9d,,2222,Starkheads,STRKHEADS,2483,erc721
0x0079bb4e72f4f2515ce5c43646a0eb52568ab3d8640a38a96be04f5ebb841072,,2222,Kanpai Pandas,KP,2554,erc721
0x052f207ff62ca5e12ae2a855de1eab33bc8023ffab4a9e600bdef14ba1fe5b37,,2222,Starknet Girls Club,SGC,3251,erc721
0x0526219a0be102340a767a2685951bb94ed3721b5c244deb97d36122de6a82d7,,2200,Starknet moonbirds,MOON,3076,erc721
0x07cc6f63aff4e21b7a35c3cad52811f5f6aac045af46695cf5f6328fd31d5980,,2200,StarkNet Havens,HAVEN,2586,erc721
0x05a667adc04676fba78a29371561a0bf91dab25847d5dc4709a93a4cfb5ff293,,2062,Carb_Var_Max_value,CARBVMV,2068,erc721
0x03c2e4bc2c4c9b3ed46e8eb4052a90fb46e9db6d159129ad04971cbcac7c15a4,,2000,Dangerous Goats,GOAT,2645,erc721
0x056d9c82795af88a7b1c75539b52779853cd48b10d8f8124e116882ed3ebd5cd,,2000,Pepe Apes Stark Club,PAYC,2459,erc721
0x049fd5079c13f295083daa3904ca2595f71e97381ff65433e7e86269cc15ab09,,2000,Ascended Fighters,ASFI,2552,erc721
0x00323c0567e8764d283cebe18a498d789cfdb8d988e1ead36c7eca45b497a7ba,,2000,Solid Punks,PUNK,2518,erc721
0x02dd41f931413187d1e30fbd184fbc55591d338ad1ecd3626506ca461ca68254,,2000,Test Pumpkins,PMPK,2000,erc721
0x00c257143d1634f935dcbaef5ef007433bde15d0bfd64d5a006688ce5b50aedd,,1999,Turtle Punks,TURTLEPUNK,3525,erc721
0x010b7946afdc6ff0c19f31d12acc88d496432474c836198908c0ca88e8a7af1d,,1985,Inter Milan,IM,2180,erc721
0x0552e0a26d49fe003df0724e018ec74d9dfeee7c84b12b0a3bf1ea4ef6dd490d,,1973,Real Madrid,RM,2137,erc721
0x0194f440871376bce656ea3c9b2bf58922a65368d5fd12983e916c70ae84d4ae,,1966,AC Milan,ACM,2093,erc721
0x055effb60a382aac6c3c92a59e03e3e1fdbaeda35b2903cadd2da303cf73ac35,,1955,Dortmund,DM,2100,erc721
0x018fe67026235ae6f8a70b1954e3137576e665da0c0934e4b1828558e56b57c7,,1943,Bayern Munich,BM,2090,erc721
0x066f271471e5134466c9cb3f7a9a4caf210b1595d9d7e1cca3b2f5c2f39347fb,,1937,Manchester City,MC,2175,erc721
0x00b62b2206c699268667d0849c7d5abf32b8de9db297fe1d543b8fbd845c94ab,,1924,Cairo Voucher,Cairo Voucher,1924,erc721
0x03526c54d83c40cec9fd75974edcff31464ffd475abd2d68444fe046b5b44b8d,,1922,Benfica,BFC,2085,erc721
0x03c61a51afd2608ca4505ce66a1b481bfbad81fe47554b55139ef2158961ac25,,1900,CosmoPunks,COSMO,2203,erc721
0x04b3d83c367aadebe46f6061a3346d923c5a6a423e71bd298236d269c40b74a6,,1898,Napoli,NPL,2072,erc721
0x025c602164d202593bbba07714f9f66567f2679e4362e7dc3039451f12b13929,,1888,Bitget Wallet & Starknet,Bitget Wallet,1888,erc721
0x006388287732384e15b92dfdba817580b0bd4ab15cb4a2e3e016b5be812619e7,,1874,Phantom Spirit,FSA,1874,erc721
0x05ce542f2573d1e5160cda8e3b13057d58e1e1330827fc7aa633c0c5f2502e72,,1859,Chelsea,CS,1951,erc721
0x002e02ab50ad223a4de99d7591cbbb565705893ad5b8522a9bde011d20e99926,,1832,Cartridge Avatar,AVATAR,1832,erc721
0x07fb37d165e3724065aec34746cf1cd0d395c88453b988e387252098c3a7c66f,,1800,Paris Saint Germain,PSG,1894,erc721
0x02a819b93cc69b45ee5d1a1bfc16954c16f6d35c3873a06c97b95c009bfe502b,18,1775,Grails ERC404,GRAILS,14589,erc721
